id ,name,phase
sparkit.implementation,Implementation,implementation
sparkit.planning,Planning,planning
sparkit.post_implementation,Post Implementation,post_implementation
sparkit.graduated,Graduated,graduated
sparkit.community_identification,Community Identification,community_identification
sparkit.partnership_ended,Partnership Ended,partnership_ended
