id,name
grouptracking_1,Repatriates
grouptracking_2,Widows
grouptracking_3,Single Mothers
grouptracking_4,Handicapped
grouptracking_5,Ex-Combatants
grouptracking_6,Divorced
grouptracking_7,Orphans
grouptracking_8,Illegally Married
grouptracking_9,At Risk/Unemployed Youth
grouptracking_10,Expelled from Tanzania
